text,identifier
許李類翁觀觀叫,0009_p009_r
林甲漢丹官請高甲根官事例之遺錢,0009_p009_r_6
王林陳娅不霸儀炳成到觀觀郎光 叫,0009_p009_r_27
對王切除霸交外供霸成謂手光家代舅嬸爲尚莆帶長石入去娘舊錢住港五在及百舊霸四港到十前吧一有不文寄幸叁單成鈸到光三吧舅方與經舊莆已又成棄有光世寄舅向書 其囑  此  錢,0009_p009_r_29
黎原張被欽告帖告觀報觀亦叫病 不 不 到 到,0009_p009_r_25
李溫阿端七壽叫,0009_p009_r_21
羅黎海捷遠振叫,0009_p009_r_15
李屡阿討七不供还謂 温列端臺壽因前會有錢欠之去事湊公會堂之不錢理貳 拾 玖 文 零 一 方 半,0009_p009_r_23
着投羅二公海比堂遠預決欲先奪向在 黎外 捷會 振算 討有 錢長 因短 未幾 有多 會錢 帳如 不不 知肯 若還 干而 錢後 公可 堂,0009_p009_r_17
林黄當甲甲事  丁  十  一  月  十  一  日  和  1  7  8  7  年  十  二  月  十  九  日  拜  三,0009_p009_r_13
止仔得公其並之堂餘稱 會三亭 議個事 爲月例 雷該錢 珍錢全 蘭壹年 高百共 根柒七 官拾百 棄五文 世文當 本應於 年付仙 未新逝 滿雷之 其珍月 所蘭和 應林九 得漢月 賭丹終 傌 爲,0009_p009_r_8
文四許列文類臺貳供着鈸謂二五李比方翁在其前外餘對對屢家賬討兄會不許算還遠 李去 翁漆 訴的 謂錢 已五 還拾 去文 錢後 四還 拾來 柒錢 餘壹  拾,0009_p009_r_4
