text,identifier
拾柒文貳鈸懇乞從容漸還召問陳江娘曰王興廣欠汝茶錢叁拾 貳文貳鈸願過汝夫數内以還興廣之錢否答曰願 王興廣供謂鄭旺伯有欠興之錢壹百文不思措還遁迹遠去今已尋得其 人特引到此伏乞究追 鄭旺伯供謂旺果有欠王興廣之錢壹百文而 興廣有欠拙妻之茶錢叁拾貳文貳鈸願付其扣抵除外尚長來錢陸,01_11_0002_p002_r_9
3,01_11_0002_p002_r_2
王興廣呌,01_11_0002_p002_r_78
陳甲 楊甲  當事,01_11_0002_p002_r_7
鄭旺伯,01_11_0002_p002_r_81
當事丁十月初五日和〡〧〨〧年十一月十四日拜三,01_11_0002_p002_r_76
廣曰鄭旺伯與汝長短之錢俟其回歸理會可也然陳氏之茶錢急宜 措還如尋不得旺伯臨及限期亦當清楚陳江娘甘願而退 先還王興廣云茶錢實計叁拾貳文貳鈸乞限三禮拜尋得旺伯自當 氏实不知情奈舉現炊爨無資伏乞仁慈俯憐貧苦列臺諭王興 有於理難容伏望明鑑斧斷陳江娘云拙夫與興廣有無長短錢,01_11_0002_p002_r_18
討茶錢無時休息今復投告公堂務欲原茶必獲使興血本竟屬烏 往又不見旺伯面目其妻與弟仍似前言相慰如是數次知其欲吞滅血 俱稱旺伯外出討賬未歸若有長短俟其回歸理會決不相負他日再 壹斤議定價錢叁拾貳文貳鈸意欲俟其夫回來然後理會孰料陳氏迫 本徒以花言相瞞故向其妻陳氏買來一斤箱的茶壹拾柒箱又零茶壹拾 是月十四日交還及期往討不見形迹問其妻陳江娘與弟鄭學喜二人 陳江娘供謂氏因本夫出船别往氏獨守店有王興廣向氏買去茶貳大 錢既回而茶至今不肯交還伏乞嚴究召問鄭開所供與江娘相同王 興廣供謂鄭旺伯前八月初十日面會結欠去湊會之錢壹百文大鈁約 他欲會議價錢叁拾貳文貳鈸氏不肯許即取回去定錢壹拾貳文貳鈸定 箱又壹拾柒小箱議價錢四拾文即來定錢壹拾貳文貳鈸誰疑去茶以後,01_11_0002_p002_r_5
陳江娘呌 ,01_11_0002_p002_r_133
王興廣,01_11_0002_p002_r_94
"二比供,詳前期九月十四目兹陳情不容 來再禀陳天雨乞限每月還錢壹拾文,漸漸湊足其欠項而後已陳 情甘願",01_11_0002_p002_r
